Timestamp start: 1684486395589
Timestamp end: 1684487236005

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      303.1   296.5    86.8   135.2   149.6   267.9   330.6   366.6   393.7   427.2   470.0   535.6   747.1  2953.3 13570.6  73465.2    73430
read      295.3   256.0    86.8   134.5   148.7   262.8   322.6   358.0   384.3   416.2   458.3   522.2   715.6  2692.1  8060.6  82605.4    82631
read      291.2   246.5    86.8   132.0   145.8   261.1   317.4   351.6   379.2   413.9   458.0   516.9   705.4  2323.6 10657.1  54437.4    54403
read      284.4   194.6    80.4   132.8   146.9   256.4   315.0   348.2   373.6   403.8   443.2   501.6   639.8  2098.5  6843.3  86606.4    86505
read      283.8   220.2    80.4   131.7   146.1   255.9   314.2   346.8   372.1   401.6   439.8   498.3   635.2  2428.5  7849.3  83692.2    83735
read      270.7   145.4    80.4   128.9   143.1   247.1   303.2   335.8   360.4   389.9   427.0   480.8   593.5  1516.7  4293.5  95102.4    94923
read      278.5   212.1    80.4   133.8   148.3   269.7   327.9   353.2   369.8   388.6   410.3   444.4   529.5  1135.5  8834.8  19367.4    19613
read      282.6   190.1    80.4   135.0   149.9   262.1   329.9   361.4   382.3   404.0   431.3   469.3   569.0  1071.8  7966.0  24297.2    24359
read      281.9   206.1    80.4   131.1   145.9   256.2   315.4   349.3   374.1   403.8   442.1   497.1   617.5  1874.5  8971.7  83484.2    83310
read      279.1   157.9    80.4   130.9   145.3   254.8   312.3   345.1   370.3   400.3   437.6   493.9   619.6  1645.0  5393.9  73673.4    73645
read      274.6   202.0    80.4   129.6   144.0   249.9   306.2   338.3   362.7   392.1   429.5   485.3   608.7  1813.7  5940.0  89727.4    89707
read      279.2   162.6    80.4   130.7   145.2   250.8   320.2   358.5   384.6   412.9   445.7   490.7   592.0  1050.8  6373.5  34562.2    34540
read      281.1   181.0    80.4   131.4   146.3   254.7   313.5   346.9   372.6   402.8   442.1   500.0   624.7  1956.8  6633.3  92682.2    92692
read      279.1   164.1    80.4   130.5   144.9   252.9   313.4   349.1   375.9   407.0   444.1   496.3   601.6  1316.1  5645.6  50644.6    50564
read      283.0   164.7    80.4   131.4   146.0   259.0   318.9   353.1   378.1   407.6   445.9   501.0   623.8  1485.8  5994.5  69750.6    69746
read      269.2   197.7    93.8   149.4   167.8   265.1   294.7   310.4   320.4   334.1   349.1   373.1   443.3  3275.7  8465.4   8998.0     9038
read      301.4   166.1    86.8   139.1   155.5   282.2   340.3   373.6   398.5   428.4   464.7   517.8   640.2  1425.5  5796.7  44385.6    44527
read      292.2   172.1    80.4   135.2   151.0   269.9   329.8   363.7   388.7   418.5   456.4   511.9   636.8  1693.5  5285.9  76176.4    76137
read      282.8   183.5    80.4   131.4   146.5   260.2   317.6   350.6   375.1   404.8   443.3   498.8   622.1  1580.9  5973.7  78158.8    78097
read      285.5   151.7    80.4   130.7   145.6   263.1   323.2   357.5   382.8   413.0   451.1   504.9   629.4  1430.3  4189.8  58018.2    57917
read      283.2   181.8    80.4   130.1   144.6   257.4   320.5   357.0   383.2   413.3   449.7   501.0   623.1  1358.7  7616.0  44677.8    44637
read      273.1   237.1    86.8   140.7   156.4   268.9   306.4   324.0   336.7   350.7   369.4   398.7   473.6  3137.2 12411.7  12107.6    11960
read      293.7   182.9    80.4   136.2   152.2   272.8   334.1   368.1   392.0   419.4   453.4   502.1   629.3  1156.0  7558.0  33421.8    33407
read      296.6   166.1    80.4   136.1   152.0   274.7   335.4   369.8   395.3   425.4   462.3   516.9   642.0  1460.8  5586.1  46734.0    46639
read      293.0   202.4    80.4   133.8   149.6   269.4   331.0   366.5   392.4   422.4   458.4   507.8   635.9  1374.0  8774.5  42145.2    42094
read      285.1   170.0    80.4   133.0   148.5   263.2   326.2   360.8   384.6   410.6   443.1   490.7   605.2  1035.7  6921.4  33315.4    33265
